physical_harm,fairness_equity,autonomy_respect,privacy_protection,societal_environmental,virtue_care,legitimacy_trust,epistemic_quality,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
-0.21805,-0.44224,-0.59643,-0.44012,-0.64080,-0.63104,-0.35954,-0.64404,1,0,0,0,1,0,0
0.89858,-0.49041,-0.10800,-0.44092,-0.43581,-0.19625,0.01318,-0.54582,1,0,1,0,0,0,0
0.42657,-0.71211,0.64445,-0.06789,-0.79496,-0.77110,-0.80527,-0.72979,1,0,0,0,1,0,0
0.49748,-0.24801,-0.58905,-0.73093,-0.65764,-0.42035,-0.44645,-0.16472,1,0,0,0,0,0,0
0.60042,-0.39659,-0.22964,0.35663,0.11841,0.39514,0.46230,-0.20447,1,0,0,0,1,0,0
0.69181,-0.54715,0.07584,0.18790,-0.15920,-0.53692,-0.72204,-0.77559,1,0,0,0,1,1,0
0.64840,-0.61036,-0.72435,-0.69482,-0.65217,-0.38321,0.65986,-0.72506,1,0,1,0,1,0,0
-0.09798,0.23548,-0.60176,-0.26169,-0.33569,-0.19631,-0.09045,-0.31342,1,0,0,0,1,0,0
0.72179,0.43017,0.72927,-0.19945,-0.08975,0.28489,0.74982,0.13271,1,0,0,0,1,0,0
0.45419,-0.01657,-0.28264,-0.34416,-0.58857,0.49128,0.86942,-0.45761,1,0,0,0,1,0,0
-0.00807,0.66295,-0.03315,-0.64249,-0.45432,0.15635,0.62652,0.19724,1,0,0,0,1,0,0
0.85051,0.54696,0.48263,-0.42130,-0.73364,0.06410,0.14863,0.16661,1,0,0,0,0,0,0
0.64275,0.76858,-0.35552,-0.46839,-0.38984,0.72889,0.84353,0.61501,1,0,1,0,1,0,1
0.39116,-0.77582,-0.65651,-0.37721,-0.69821,-0.39932,-0.08471,-0.33764,1,0,0,0,0,0,0
0.78537,-0.52614,0.44061,0.44268,-0.78573,-0.39090,0.02098,-0.71278,1,0,0,0,1,0,0
0.85594,0.41521,-0.44487,-0.61600,-0.66852,0.46138,0.59616,0.48499,1,0,0,0,1,0,0
0.65644,-0.28721,-0.62254,0.24675,-0.76162,0.22912,-0.58266,-0.66003,1,0,0,0,1,0,0
0.49106,0.75477,0.43906,-0.46300,-0.23754,0.73438,0.86448,0.54243,1,0,0,0,1,0,0
0.52198,-0.13785,0.56565,0.06330,0.49674,-0.19942,-0.02418,-0.35775,1,0,1,0,0,0,0
0.10427,-0.34768,0.39890,-0.41749,-0.21217,0.20060,-0.28335,-0.64395,1,0,0,0,1,0,0
0.76272,-0.46832,-0.05023,-0.09945,-0.51030,-0.04920,0.16142,-0.04200,1,0,1,0,1,0,0
0.68910,-0.23777,-0.70149,-0.32731,-0.47131,-0.35560,-0.57485,-0.55745,1,0,0,0,1,0,0
0.53276,0.40913,0.42901,-0.69498,-0.08584,0.60981,0.78386,0.62255,1,0,0,0,1,0,0
0.57753,-0.30297,-0.05325,-0.38292,-0.19145,0.47876,0.64862,0.05939,1,0,0,0,1,0,0
0.04568,-0.10300,-0.46808,0.04754,-0.86282,-0.50746,0.12367,-0.66509,1,0,0,0,0,0,0
0.77135,0.71590,0.73705,-0.51721,-0.31695,0.78197,0.77970,0.66188,1,0,1,0,0,0,0
0.70310,-0.13436,-0.29600,-0.39152,-0.64085,0.58436,0.79523,-0.19962,1,0,0,0,0,0,0
0.36936,-0.70291,-0.75728,-0.23101,-0.75048,-0.40318,-0.65779,-0.56984,1,0,0,0,0,1,0
0.61159,-0.30127,-0.28144,-0.43348,-0.48949,-0.02239,-0.40590,-0.71803,1,0,0,0,1,0,0
0.52603,0.36680,-0.42250,-0.31463,-0.63214,0.73913,0.78500,-0.21710,1,0,0,0,1,0,0
0.56602,-0.65141,0.53743,-0.60188,-0.05166,-0.51609,-0.59611,0.39760,1,0,0,0,1,0,0
0.43626,-0.53299,-0.54247,-0.43919,-0.51503,-0.15415,0.03250,-0.71483,1,0,1,0,0,0,0
0.76928,-0.38269,0.76866,-0.45103,0.13739,-0.57126,-0.58072,-0.11123,1,0,0,0,1,0,0
-0.41954,0.18335,-0.64897,-0.42990,-0.47079,0.29600,0.43836,0.05197,1,0,0,0,1,0,0
0.51205,-0.31351,0.57521,-0.23783,-0.73867,0.56061,0.37350,0.28642,1,0,0,0,0,0,0
0.70179,-0.17521,0.62593,-0.69953,-0.56580,0.66266,0.04289,-0.59185,1,0,0,0,1,0,0
-0.06969,-0.47018,0.50520,-0.37528,-0.54419,-0.21660,-0.48728,-0.60443,1,0,0,0,1,0,0
-0.01541,0.69433,0.42165,-0.40849,-0.60828,-0.64035,-0.47535,-0.27126,1,0,0,0,1,0,0
0.16125,0.30602,-0.49623,-0.24026,-0.00711,0.65093,0.04236,-0.15959,1,0,0,0,0,0,0
0.63573,0.65097,-0.71975,0.38664,-0.48326,0.78949,-0.33717,0.58385,1,0,0,0,1,0,0
0.25926,0.30180,-0.32534,-0.44360,-0.81512,0.67918,-0.12398,0.19181,1,0,0,0,1,0,0
0.53485,-0.54544,0.40085,-0.40026,-0.50452,0.57707,-0.08523,-0.66598,1,0,1,0,1,0,0
0.85011,0.38631,0.59828,-0.00235,-0.02572,0.65539,0.84293,-0.01172,1,0,0,0,0,0,0
0.25307,-0.58258,-0.09231,-0.38220,-0.77672,-0.74749,-0.62258,-0.15613,1,0,0,0,1,0,0
0.09854,-0.08356,-0.73380,0.47112,-0.64600,0.17726,0.71142,0.36140,1,0,0,0,1,0,0
0.81954,-0.59750,-0.51821,0.05492,0.54957,0.21220,0.21461,-0.09087,1,0,0,0,1,0,0
0.05984,0.51202,-0.82828,-0.44863,-0.13798,0.72470,0.64769,-0.52588,1,0,0,0,1,0,0
0.83171,0.19691,0.23079,-0.62802,-0.66834,0.72125,0.34775,0.64307,1,0,0,0,1,0,0
0.72077,0.36321,0.39002,0.16702,0.02544,0.39940,0.52090,-0.62419,1,0,0,0,1,0,0
0.65399,0.09367,0.09576,-0.58799,-0.66352,-0.34223,-0.59184,-0.69971,1,0,0,0,1,0,0
0.19654,0.74235,-0.54888,0.12614,-0.69733,-0.20481,0.71974,0.46531,1,0,0,0,0,0,0
0.65197,-0.13599,0.71274,-0.57726,0.24110,0.14762,-0.23050,-0.26871,1,0,0,0,0,0,0
-0.07367,0.51229,0.11571,-0.51260,-0.44090,0.60540,0.85472,-0.27552,1,0,0,0,0,1,0
0.74161,-0.39922,-0.74002,-0.26267,0.36248,0.20398,0.44449,-0.72969,1,0,0,0,0,0,0
0.03924,-0.66637,-0.75838,-0.48150,-0.67001,-0.55071,-0.04021,-0.55053,1,0,1,0,0,0,0
0.63001,-0.44474,0.11683,-0.56670,-0.57723,-0.14197,0.78119,-0.20932,1,0,0,0,1,0,0
0.19018,-0.13283,-0.26499,0.06107,-0.22743,0.38764,0.74667,-0.62123,1,0,0,0,1,0,0
0.89406,0.02279,0.09697,0.22331,-0.71891,0.49874,0.74994,0.36807,1,0,0,0,1,0,0
0.59866,-0.42647,0.00860,-0.29333,0.35931,-0.21230,0.16141,-0.61233,1,0,0,0,1,0,0
0.77313,0.50992,0.06637,-0.25868,-0.56937,0.40868,-0.20679,0.33381,1,0,0,0,1,0,0
0.14275,-0.59156,0.49227,-0.04384,0.26683,0.49122,-0.58644,-0.29844,1,0,0,0,1,0,0
-0.09658,-0.45518,-0.10833,-0.43026,-0.52118,0.62847,0.77414,0.20781,1,0,0,1,0,0,0
0.67987,0.54814,0.41844,-0.43181,-0.35307,0.50517,0.87006,-0.50135,1,0,0,0,1,0,0
0.59849,0.03925,0.67283,-0.34807,-0.01190,0.01681,0.14538,-0.09699,1,0,0,0,1,0,0
0.66515,0.07221,0.25744,-0.24693,0.51538,0.73901,0.50661,-0.44209,1,0,0,0,1,0,0
0.51071,-0.46396,-0.65548,-0.41495,-0.53226,0.00017,0.10045,-0.66998,1,0,0,0,0,1,0
0.43902,0.76088,0.21297,0.28579,-0.28937,0.76724,0.76606,0.09555,1,0,0,0,1,0,0
-0.14024,-0.32136,0.12736,-0.47605,-0.05114,-0.09333,-0.39868,-0.43430,1,0,0,0,0,0,1
0.68149,0.62637,0.46588,-0.14410,-0.64845,0.39030,0.82460,0.07130,1,0,1,0,0,0,1
-0.05314,-0.43122,-0.55922,-0.52729,-0.59532,-0.39020,0.48712,0.06986,1,0,0,0,1,0,0
0.74950,0.37975,0.40232,0.09994,-0.46088,0.71720,0.62844,0.71323,1,0,0,0,0,0,1
0.61470,0.65567,0.67401,-0.61211,-0.53179,0.60035,0.57241,-0.46907,1,0,0,0,1,0,0
0.28454,-0.47556,-0.58237,-0.50357,-0.69788,0.47982,0.27576,0.10499,1,0,1,0,1,0,1
0.52513,-0.34440,-0.29881,-0.18204,-0.66208,-0.61993,-0.53504,-0.77215,1,0,0,0,0,0,1
0.01932,0.32478,0.52113,-0.68491,-0.44621,0.51354,0.63769,0.27461,1,0,0,0,1,0,0
0.85616,0.08860,-0.14183,-0.54489,-0.63553,-0.07179,0.40129,0.23439,1,0,1,0,1,0,1
0.84254,-0.04769,-0.63710,-0.45441,-0.47032,-0.28477,0.53656,-0.42702,1,0,0,0,1,0,0
0.13426,-0.70141,-0.53988,-0.29615,-0.33623,-0.09008,-0.25441,-0.40784,1,0,0,0,0,0,0
0.64230,-0.53229,-0.60649,-0.49583,-0.78204,-0.38891,-0.70535,0.45189,1,0,0,0,1,0,0
0.52633,-0.47342,0.30224,-0.11398,-0.05083,0.66326,0.47322,-0.65710,1,0,0,0,0,1,0
0.48102,0.75654,0.46065,-0.19071,-0.62843,0.77949,0.41938,0.68344,1,0,0,0,1,0,0
0.65704,-0.64133,-0.76018,-0.46010,-0.73517,-0.73569,-0.02562,-0.60228,1,0,0,0,1,0,0
0.61414,0.72315,-0.19327,-0.37658,-0.62233,0.56142,0.71663,-0.05735,1,0,0,0,0,0,0
0.64682,-0.00652,-0.11091,-0.47468,-0.52289,-0.58138,-0.50432,-0.77500,1,0,0,0,1,0,0
0.31982,0.28549,-0.53661,-0.01301,-0.64726,-0.59105,-0.02279,-0.49436,1,0,0,0,1,0,0
0.35037,0.74105,0.01171,-0.40461,-0.20830,0.71812,0.84736,0.27078,1,0,0,0,1,0,0
0.72662,0.32212,-0.66866,0.00164,-0.78592,0.18476,0.21680,0.25287,1,0,0,0,1,0,0
0.09366,-0.50516,-0.64944,-0.36053,-0.52069,-0.44700,0.14211,-0.69351,1,0,0,0,1,0,0
0.12979,-0.10040,-0.68997,-0.37846,-0.13366,-0.52384,-0.15716,-0.80186,1,0,0,0,1,0,0
0.34308,0.04987,0.30047,-0.24504,-0.75358,0.78253,0.73157,0.57922,1,0,0,0,1,0,0
0.51821,0.20284,0.41195,0.15482,-0.39619,0.19413,0.21959,0.12675,1,0,0,0,1,0,0
0.05529,-0.56300,-0.11115,-0.38140,-0.53273,-0.37002,0.38585,0.73352,1,0,1,0,0,0,0
0.33429,0.71499,0.71780,-0.57329,-0.64786,0.70706,0.85374,0.34259,1,0,0,0,1,0,0
0.07373,-0.64661,-0.08130,-0.57946,-0.71255,-0.74211,-0.67959,-0.36074,1,0,0,0,1,0,0
0.12221,0.66540,0.51981,-0.60210,-0.60768,0.05955,0.78008,0.68955,1,0,0,0,0,0,0
0.87880,0.44231,-0.31740,-0.39583,-0.74000,0.63162,-0.11480,-0.71934,1,0,0,0,1,0,0
0.11010,0.24416,-0.61101,-0.01515,-0.72402,0.02371,-0.39389,0.25014,1,0,0,0,1,0,0
0.82662,-0.61384,0.82889,-0.40844,-0.42781,-0.53265,-0.41559,-0.79190,1,0,1,0,0,0,0
0.86351,-0.29107,-0.30383,-0.46568,-0.75322,0.55223,-0.69850,-0.61553,1,0,0,0,1,0,0
0.13646,0.52620,0.78815,-0.55423,-0.10662,0.65936,0.84702,0.19412,1,0,0,0,0,1,0
0.17325,-0.19993,-0.79653,-0.30116,-0.75440,-0.11221,-0.50588,-0.44798,1,0,0,0,1,0,0
0.33611,0.24383,-0.44426,-0.06415,-0.63498,-0.32680,0.37793,-0.24310,1,0,0,0,1,0,0
0.72617,-0.49192,0.43730,-0.38525,-0.72533,-0.70604,-0.23768,-0.33745,1,0,0,0,0,0,0
0.81731,0.01595,-0.04827,0.12234,-0.31186,0.57231,-0.22031,0.02326,1,0,0,0,1,0,0
0.48021,0.71964,-0.34193,0.14335,-0.61278,0.67190,0.81321,0.42704,1,0,0,0,0,1,0
0.27529,-0.37730,0.57684,0.52646,-0.44859,-0.48978,-0.70325,-0.68343,1,0,0,0,1,1,0
0.08488,0.05356,-0.64418,-0.55637,-0.45990,-0.19877,0.65166,0.22132,1,0,1,1,1,0,1
0.79757,-0.19095,0.44179,-0.31305,-0.54199,-0.27073,0.18468,0.32629,1,0,0,0,0,0,0
-0.17367,-0.12000,-0.38465,-0.42614,-0.72475,-0.14916,0.66126,0.44880,1,0,1,0,0,0,0
0.69406,0.30226,0.26496,0.06954,0.27682,0.43657,0.85403,0.09528,1,0,0,0,1,0,0
0.43746,-0.34256,0.02027,-0.47466,-0.62141,-0.29249,-0.76720,-0.54606,1,0,0,0,1,0,0
-0.01866,0.53769,0.00841,-0.62325,-0.74454,0.41648,-0.11800,0.29816,1,0,1,0,0,0,0
0.84688,-0.30328,-0.53697,-0.16259,-0.70297,0.51436,-0.25197,-0.62083,1,0,0,0,0,0,1
0.62141,-0.02854,0.46734,0.45419,-0.65605,0.71063,0.72641,0.04327,1,0,0,0,0,0,1
0.83548,0.53205,0.12625,-0.20101,-0.59530,0.24303,-0.09521,-0.28042,1,0,0,0,1,0,0
0.48323,-0.32741,0.09243,-0.18570,-0.46505,-0.33983,-0.54288,-0.45046,1,0,0,0,1,0,0
0.42892,0.21707,0.35070,-0.29732,-0.70778,0.20937,-0.22293,-0.17113,1,0,0,0,1,0,0
0.00340,0.53512,-0.61115,-0.09622,-0.64086,0.39154,0.82362,-0.14854,1,0,0,0,1,0,0
0.59203,-0.10794,0.66319,-0.36226,-0.67894,-0.19020,-0.64034,-0.62697,1,0,0,0,1,0,0
0.78593,0.73022,-0.53819,-0.61648,-0.54332,0.78944,0.89956,0.40329,1,0,1,0,0,0,0
0.90312,-0.05115,0.17016,-0.59588,-0.60691,0.53604,-0.43164,-0.63856,1,0,0,0,1,0,0
0.82517,-0.55937,0.25017,-0.00296,-0.22313,-0.67467,-0.70414,-0.54496,1,0,0,0,0,0,0
0.60710,0.05736,-0.55529,-0.09486,-0.59001,-0.07173,0.77833,0.38013,1,0,0,0,1,0,0
0.82460,0.04485,-0.36283,-0.65944,-0.74092,0.08016,0.70964,0.49895,1,0,1,0,1,0,0
0.71091,-0.28929,-0.48612,-0.31091,-0.62069,-0.20126,0.57992,-0.16219,1,0,0,0,1,0,0
0.54119,-0.02038,-0.68830,-0.47929,-0.42411,0.13719,0.00550,-0.57466,1,0,0,0,1,0,0
0.79057,-0.35014,-0.41929,-0.17205,-0.41986,-0.47433,-0.49529,-0.42539,1,0,0,0,1,1,0
0.50342,-0.24598,0.47081,-0.74927,-0.69863,0.17843,0.14788,-0.03015,1,0,1,0,0,0,1
0.60178,0.17413,-0.25202,-0.40527,-0.40507,0.24728,-0.00296,0.02554,1,0,0,0,1,0,0
0.70911,0.19870,0.81406,-0.42072,-0.46143,0.30992,0.73018,-0.11587,1,0,1,0,0,0,0
0.17800,-0.57351,-0.26261,-0.45080,-0.45867,-0.67464,-0.65340,-0.79395,1,0,1,0,1,0,0
0.39920,-0.22977,-0.34656,-0.03971,-0.60982,-0.52601,-0.61202,-0.74276,1,0,0,0,0,0,0
0.45643,0.45163,-0.75165,-0.09256,-0.47513,-0.11661,-0.65604,-0.66910,1,0,0,0,1,0,0
0.85384,-0.69110,0.05771,-0.47241,-0.84589,-0.59158,-0.29573,-0.29254,1,0,0,0,1,0,0
0.81930,-0.52069,-0.07258,0.07525,0.04689,0.25446,0.65959,-0.09534,1,0,0,0,1,0,0
0.70580,-0.63013,-0.70226,-0.14778,-0.37106,-0.67087,-0.57200,-0.35871,1,0,0,0,1,0,0
0.19509,-0.54976,-0.79598,0.00421,-0.00570,0.74941,0.76742,-0.20138,1,0,0,0,1,0,0
0.71065,-0.55857,-0.44704,-0.22604,-0.62814,0.21789,0.71308,-0.72827,1,0,0,0,1,0,0
0.61041,0.71410,0.01044,-0.40899,-0.43666,0.65226,0.74793,0.17378,1,0,0,0,1,0,0
-0.44307,-0.65392,0.67530,-0.40498,-0.37233,0.66971,0.61474,0.35376,1,0,0,0,0,0,0
0.67227,-0.47741,0.48779,0.23546,-0.74862,-0.04276,-0.08321,-0.69442,1,0,0,0,1,0,0
0.28279,-0.12924,0.04295,-0.33621,-0.77086,-0.29953,0.71227,-0.04991,1,0,0,0,1,0,0
-0.19122,0.31053,-0.57674,-0.23892,-0.57127,0.46292,0.59443,-0.12244,1,0,0,0,1,0,0
0.16354,0.29023,0.04210,-0.16822,-0.18426,0.01534,-0.15865,-0.68908,1,0,0,0,0,0,0
0.54815,-0.57158,0.03395,0.07434,-0.64991,0.13648,0.14220,-0.46479,1,0,0,0,1,0,0
0.42394,0.73247,-0.75438,-0.10818,-0.76953,0.67610,0.71567,-0.05461,1,0,0,1,0,0,0
0.68517,-0.32192,-0.75998,-0.36042,-0.56642,0.35071,-0.05667,-0.67304,1,0,1,0,1,0,0
-0.53484,0.54878,-0.76383,-0.46171,-0.46971,0.60152,0.30395,-0.73911,1,0,0,0,1,0,0
0.61364,0.23649,-0.57616,-0.28061,-0.59688,-0.30256,0.49138,-0.58321,1,0,0,0,1,0,0
0.82231,-0.21083,-0.40221,-0.58641,-0.59910,-0.56264,0.01787,-0.67547,1,0,0,0,1,0,0
0.71317,0.23507,-0.63343,-0.07995,-0.19433,0.50798,0.47272,0.19282,1,0,0,0,1,0,0
0.59561,-0.67417,-0.29179,-0.42523,-0.73839,-0.57451,0.56790,-0.26634,1,0,0,0,1,0,0
-0.11203,0.43402,-0.14005,-0.69879,-0.64498,0.66881,0.82062,0.48925,1,0,1,0,0,0,0
0.60035,-0.26412,-0.31925,-0.01876,-0.81023,-0.10335,0.29651,-0.22188,1,0,0,0,1,0,0
0.85145,0.00138,0.08404,-0.49601,-0.40293,0.22005,0.04175,-0.48870,1,0,0,0,1,0,0
0.79025,-0.58342,-0.29108,0.11445,-0.81144,-0.73775,-0.03538,-0.63835,1,0,0,0,1,0,0
-0.70807,-0.09260,-0.33745,-0.58366,-0.78776,-0.59517,0.78260,-0.64962,1,0,0,0,1,0,0
-0.26414,-0.07847,-0.29884,-0.59876,-0.79719,-0.45881,0.56568,0.63019,1,0,0,0,0,0,0
0.77564,-0.55799,-0.59722,-0.00361,-0.68401,-0.17702,0.79851,-0.52355,1,0,0,0,1,0,0
0.86485,-0.12356,0.79063,-0.17887,-0.11952,0.63140,0.75265,-0.38301,1,0,0,0,0,0,0
0.54390,0.68752,0.38312,-0.58824,-0.53403,0.65812,0.73009,0.39376,1,0,0,0,1,0,0
0.45318,0.68005,0.81080,-0.22624,-0.40021,0.77315,0.85921,0.25946,1,0,0,0,1,0,0
0.89262,0.64759,0.47455,-0.52632,-0.54904,0.78361,0.39798,0.34751,1,0,0,0,1,0,0
0.34666,-0.65953,-0.43210,-0.57057,-0.80035,-0.59228,-0.56557,-0.60169,1,0,0,0,0,0,0
0.23185,0.18572,-0.73347,-0.04644,0.02312,-0.11303,0.23394,0.13568,1,0,0,0,0,0,0
0.77911,-0.07931,0.00086,-0.60362,-0.81712,0.07908,0.62559,-0.14503,1,0,0,0,0,0,0
-0.18490,-0.37166,0.02568,-0.27088,-0.78010,0.58228,0.70262,0.68163,1,0,0,0,1,0,0
0.89226,0.19978,-0.72070,-0.01212,-0.16793,0.52105,0.57126,-0.36127,1,0,0,0,1,0,0
0.53337,0.14581,-0.83702,0.24300,-0.48735,0.74871,0.71857,0.53132,1,0,0,0,1,0,0
0.51343,-0.09767,-0.43351,-0.67261,-0.64976,0.57029,0.34317,0.00347,1,0,1,0,0,0,0
0.81993,0.02515,-0.84590,-0.05632,-0.52828,0.69572,0.61491,-0.06028,1,0,0,0,1,0,0
0.36137,-0.29245,0.75107,-0.30395,-0.74866,0.11368,-0.08735,-0.44707,1,0,0,0,1,0,0
-0.21902,0.34298,0.07088,-0.42838,-0.68832,-0.11169,-0.05607,-0.47664,1,0,0,0,0,0,0
0.84534,-0.15233,-0.16303,-0.58268,-0.57601,-0.37450,0.69343,-0.23989,1,0,0,0,1,0,0
0.27780,-0.61138,-0.15405,-0.42112,-0.32214,0.20106,-0.43863,-0.74652,1,0,0,0,0,0,0
0.80883,-0.32391,0.04569,-0.49290,-0.30604,-0.41472,0.54011,-0.72145,1,0,0,0,0,1,0
0.84553,-0.15016,-0.15408,-0.26563,-0.39206,-0.39560,0.40235,-0.55047,1,0,0,0,0,0,0
0.43744,0.04294,-0.77475,-0.27738,-0.81340,0.18711,0.48376,0.00539,1,0,0,0,1,0,0
0.71987,-0.40100,-0.41178,-0.40874,-0.41521,-0.34826,-0.36410,-0.41530,1,0,0,0,0,0,0
0.69972,-0.36068,-0.02125,-0.36486,-0.46182,0.11715,-0.02757,-0.60200,1,0,0,0,1,1,0
0.83888,-0.17602,-0.66043,-0.17691,-0.13594,0.60790,0.34713,-0.72934,1,0,0,0,0,0,0
-0.80535,0.17190,0.53889,-0.67392,-0.54047,-0.33166,0.70673,0.38180,1,0,0,0,1,0,0
0.61205,-0.10646,-0.42822,-0.21161,-0.59443,0.37589,-0.22744,-0.72559,1,0,0,0,1,0,0
0.76045,0.17939,0.85092,-0.65877,-0.43343,0.69544,0.48220,-0.02562,1,0,1,0,0,0,0
0.56826,-0.23327,-0.62776,-0.21022,-0.63953,0.79704,-0.46019,0.25896,1,0,1,0,0,0,0
0.80516,0.54898,-0.21283,-0.50444,-0.67513,-0.35714,-0.15731,-0.63216,1,0,0,0,1,0,0
-0.02340,-0.46459,-0.21619,-0.57491,-0.45012,-0.58508,-0.19163,-0.62338,1,0,0,0,1,0,0
0.60506,-0.16290,-0.75777,-0.14869,-0.79023,0.15252,-0.74948,-0.37908,1,0,0,0,1,0,0
0.73274,0.74666,0.00217,-0.63469,-0.44092,0.28555,0.65487,0.37096,1,0,0,0,1,1,0
0.71842,0.13672,-0.18253,0.10200,-0.41323,0.39305,0.68434,0.02475,1,0,0,0,0,0,0
0.28184,0.37981,0.64212,-0.50866,-0.77740,-0.30558,0.26875,-0.76140,1,0,0,0,0,1,0
0.77506,-0.69092,0.02928,-0.41630,-0.41930,-0.16432,-0.12130,-0.50820,1,0,0,0,0,1,0
0.80094,-0.01875,-0.20976,0.02061,-0.11900,0.38572,0.47163,-0.67007,1,0,0,0,0,0,0
0.74011,-0.55394,-0.50307,-0.54130,-0.51282,0.21214,-0.41247,-0.40827,1,0,0,0,1,0,0
0.05477,-0.03237,-0.10483,-0.76952,-0.57888,0.38392,0.64635,-0.36531,1,0,1,0,1,0,0
0.78743,-0.36014,0.04448,-0.62557,-0.61071,0.61718,0.73862,0.63192,1,0,1,0,1,0,0
0.68074,0.29887,0.54813,-0.42254,-0.44589,-0.16353,0.73768,-0.29128,1,0,0,0,1,0,0
0.41840,-0.46527,-0.54014,-0.48192,-0.50443,0.28214,0.57658,-0.36569,1,0,0,0,0,0,0
-0.00229,0.12247,-0.79554,-0.20227,-0.77666,0.01055,-0.28872,-0.72891,1,0,0,0,0,0,0
0.73793,0.50967,-0.54591,-0.29144,-0.68523,0.59958,0.78091,-0.42079,1,0,0,0,0,1,0
0.33188,-0.19758,0.73216,-0.52101,-0.59581,0.43062,0.20668,-0.35200,1,0,0,0,1,0,0
0.27117,-0.16066,0.61176,-0.32804,-0.75481,0.38947,-0.49303,0.44253,1,0,0,0,1,0,0
-0.06249,0.82091,0.78209,-0.45195,-0.36811,0.64293,0.81565,0.26637,1,0,0,0,0,0,1
